Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,74.830002,74.910004,73.330002,73.760002,68.255943,12302200
2021-02-25,73.349998,74.339996,72.709999,74.059998,68.893127,11747100
2021-02-26,74.129997,75.559998,73.470001,73.480003,68.353592,12583200
2021-03-01,74.639999,76.910004,74.370003,75.910004,70.614082,12272600
2021-03-02,76.629997,76.849998,75.449997,75.540001,70.269882,8738500
2021-03-03,75.779999,75.930000,72.089996,72.519997,67.460564,11748900
2021-03-04,72.290001,73.059998,70.489998,71.290001,66.316399,11998700
2021-03-05,71.610001,72.000000,68.330002,70.699997,65.767548,15509900
2021-03-08,71.000000,72.440002,70.550003,70.860001,65.916389,12479400
2021-03-09,72.410004,74.709999,72.320000,74.019997,68.855919,9363700
2021-03-10,73.809998,74.739998,72.690002,74.459999,69.265236,8247200
2021-03-11,74.959999,75.550003,74.459999,74.860001,69.637337,6602500
2021-03-12,75.180000,76.010002,74.040001,75.669998,70.390800,6113100
2021-03-15,75.489998,76.209999,75.040001,75.519997,70.251297,7129200
2021-03-16,75.169998,76.339996,75.129997,75.379997,70.121048,6512700
2021-03-17,75.000000,75.190002,72.809998,72.959999,67.869881,10343300
2021-03-18,73.000000,73.010002,70.269997,71.129997,66.167549,14198800
2021-03-19,71.180000,72.629997,70.059998,70.839996,65.897774,22806700
2021-03-22,70.760002,72.430000,70.760002,71.690002,66.688477,10057700
2021-03-23,71.580002,74.290001,71.570000,74.019997,68.855919,10723800
2021-03-24,73.430000,73.660004,72.410004,72.830002,67.748955,14537400
2021-03-25,73.110001,73.730003,72.470001,73.449997,68.325691,6823600
2021-03-26,73.099998,74.129997,72.639999,74.059998,68.893127,10106000
2021-03-29,74.110001,75.199997,73.690002,74.800003,69.581520,8644500
2021-03-30,74.110001,74.559998,73.739998,74.220001,69.041985,5964600
2021-03-31,74.540001,75.940002,74.430000,75.610001,70.334999,9430500
2021-04-01,75.500000,76.379997,75.379997,75.769997,70.483841,6548900
2021-04-05,76.540001,77.489998,76.540001,76.779999,71.423370,7328400
2021-04-06,76.570000,77.750000,75.949997,77.559998,72.148964,6570500
2021-04-07,77.610001,78.059998,76.779999,77.410004,72.009422,6761600
2021-04-08,77.699997,78.410004,77.440002,77.760002,72.335007,7454600
2021-04-09,77.900002,78.180000,77.620003,77.940002,72.502449,4969600
2021-04-12,77.779999,78.290001,77.209999,77.639999,72.223381,6052900
2021-04-13,77.279999,79.199997,77.250000,79.040001,73.525696,6319000
2021-04-14,78.540001,79.230003,78.379997,79.129997,73.609436,4478200
2021-04-15,79.209999,80.269997,79.019997,80.180000,74.586182,5012400
2021-04-16,80.730003,81.410004,80.250000,80.940002,75.293167,15124100
2021-04-19,81.000000,81.370003,79.620003,79.790001,74.223389,7658200
2021-04-20,79.660004,80.959999,79.629997,80.529999,74.911751,7192100
2021-04-21,80.879997,81.180000,77.690002,77.970001,72.530350,8565100
2021-04-22,78.199997,79.300003,78.019997,78.320000,72.855942,8261700
2021-04-23,78.190002,78.629997,77.830002,78.239998,72.781509,6034900
2021-04-26,78.389999,78.610001,77.540001,77.930000,72.493149,7425100
2021-04-27,77.930000,78.150002,77.080002,77.279999,71.888481,5871900
2021-04-28,77.250000,77.449997,76.629997,77.089996,71.711754,5522200
2021-04-29,77.099998,77.769997,76.660004,77.220001,71.832680,5558700
2021-04-30,77.239998,77.639999,76.690002,77.510002,72.102455,8024600
2021-05-03,77.830002,77.989998,76.519997,76.699997,71.348946,6076000
2021-05-04,76.199997,76.410004,74.760002,75.690002,70.409424,9178300
2021-05-05,75.760002,75.900002,73.400002,73.779999,68.632675,10643200
2021-05-06,74.000000,74.190002,73.309998,74.010002,68.846634,7069200
2021-05-07,74.500000,75.629997,74.500000,74.529999,69.330338,5677400
2021-05-10,74.339996,75.720001,74.260002,74.800003,69.581520,6210400
2021-05-11,73.620003,74.150002,72.690002,74.070000,68.902443,10515100
2021-05-12,73.500000,73.660004,71.500000,71.540001,66.548965,9093200
2021-05-13,72.150002,73.139999,71.680000,72.629997,67.562904,5469300
2021-05-14,73.000000,73.650002,72.790001,73.120003,68.018723,5446200
2021-05-17,73.000000,73.160004,71.709999,71.900002,66.883842,10369300
2021-05-18,71.750000,72.669998,71.279999,72.290001,67.246620,8195100
2021-05-19,71.610001,72.720001,71.199997,72.660004,67.590820,8486600
2021-05-20,73.129997,74.769997,72.989998,74.290001,69.107086,10798500
2021-05-21,74.580002,75.250000,73.989998,74.440002,69.246635,8689300
2021-05-24,74.769997,74.879997,73.919998,74.029999,68.865227,6746900
2021-05-25,74.019997,74.019997,73.150002,73.370003,68.251282,7440600
2021-05-26,73.400002,73.809998,73.050003,73.470001,68.344292,7408800
2021-05-27,73.620003,73.809998,72.800003,73.000000,67.907104,10956100
2021-05-28,73.599998,74.230003,73.190002,73.220001,68.111748,9177500
2021-06-01,73.400002,73.400002,72.040001,72.120003,67.443115,9056100
2021-06-02,72.080002,73.169998,71.820000,72.709999,67.994865,6421000
2021-06-03,72.019997,72.980003,72.019997,72.370003,67.676895,8871500
2021-06-04,72.680000,72.889999,72.260002,72.339996,67.648842,6586300
2021-06-07,72.570000,72.949997,72.110001,72.470001,67.770424,5988500
2021-06-08,72.919998,73.110001,71.709999,72.139999,67.461815,5803000
2021-06-09,72.370003,72.900002,72.070000,72.449997,67.751701,6660400
2021-06-10,72.339996,73.550003,72.169998,73.510002,68.742973,8203300
2021-06-11,73.599998,73.599998,72.919998,73.489998,68.724251,4548400
2021-06-14,73.610001,73.940002,73.029999,73.309998,68.555946,4991900
2021-06-15,73.419998,74.070000,73.070000,73.430000,68.668152,7770300
2021-06-16,74.000000,74.589996,73.110001,73.300003,68.546600,9646200
2021-06-17,73.339996,74.970001,73.019997,74.580002,69.743584,10553800
2021-06-18,74.440002,74.919998,73.029999,73.279999,68.527893,17539000
2021-06-21,73.690002,74.529999,72.620003,74.330002,69.509796,6499700
2021-06-22,74.180000,74.739998,74.080002,74.110001,69.304062,5513100
2021-06-23,74.120003,74.309998,73.010002,73.349998,68.593346,6079700
2021-06-24,73.480003,73.589996,72.589996,72.879997,68.153816,7925200
2021-06-25,73.220001,73.959999,73.209999,73.860001,69.070290,6676800
2021-06-28,74.769997,75.849998,74.629997,75.150002,70.276611,8444300
2021-06-29,74.750000,75.650002,74.029999,74.080002,69.276001,6477400
2021-06-30,74.269997,74.489998,73.070000,73.279999,68.527893,8672600
2021-07-01,73.300003,74.480003,73.080002,74.190002,69.378876,6423000
2021-07-02,74.330002,74.440002,73.720001,74.279999,69.463036,4282300
2021-07-06,74.510002,75.169998,74.040001,75.129997,70.257919,6957200
2021-07-07,75.260002,75.610001,74.849998,75.330002,70.444946,5661800
2021-07-08,74.620003,76.019997,74.419998,75.129997,70.257919,5881400
2021-07-09,75.000000,75.419998,74.279999,74.989998,70.126999,5592800
2021-07-12,75.199997,75.489998,74.379997,75.089996,70.220512,5743500
2021-07-13,75.099998,75.760002,74.629997,74.860001,70.005424,5165500
2021-07-14,75.000000,76.169998,74.639999,75.699997,70.790962,6956100
2021-07-15,75.660004,76.879997,75.190002,76.820000,71.838326,7638200
2021-07-16,76.870003,78.349998,76.870003,77.919998,72.866989,9088000
2021-07-19,77.430000,78.379997,76.019997,76.989998,71.997307,9891800
2021-07-20,77.019997,77.699997,76.860001,77.169998,72.165634,6562000
2021-07-21,77.169998,77.279999,75.809998,75.879997,70.959290,8931900
2021-07-22,75.989998,76.650002,75.889999,76.120003,71.183731,5534800
2021-07-23,76.529999,77.410004,75.919998,77.199997,72.193672,4953500
2021-07-26,76.790001,77.139999,76.440002,76.910004,71.922485,6014000
2021-07-27,76.879997,77.980003,76.110001,77.860001,72.810875,7592100
2021-07-28,77.889999,78.330002,77.220001,77.849998,72.801521,5177500
2021-07-29,78.000000,78.400002,77.620003,78.160004,73.091438,4141900
2021-07-30,77.980003,78.849998,77.739998,77.900002,72.848289,5488900
2021-08-02,78.470001,78.910004,78.129997,78.809998,73.699280,7520700
2021-08-03,78.750000,79.849998,78.370003,79.419998,74.269707,6249400
2021-08-04,79.360001,80.000000,78.769997,79.870003,74.690544,8050200
2021-08-05,79.790001,80.620003,79.529999,80.489998,75.270317,6283700
2021-08-06,80.489998,81.000000,80.059998,80.610001,75.382545,4634300
2021-08-09,80.959999,81.139999,80.120003,80.559998,75.335777,5621600
2021-08-10,80.680000,80.809998,80.199997,80.529999,75.307732,4506800
2021-08-11,81.139999,83.410004,80.970001,82.370003,77.028404,9419300
2021-08-12,82.019997,83.129997,81.830002,83.000000,77.617554,6762800
2021-08-13,83.250000,83.550003,82.830002,83.449997,78.038376,3999500
2021-08-16,83.449997,84.430000,83.150002,83.949997,78.505951,8579700
2021-08-17,83.599998,84.000000,83.120003,83.959999,78.515312,5257000
2021-08-18,84.230003,84.959999,83.889999,84.419998,78.945480,9511700
2021-08-19,83.970001,85.099998,83.919998,84.550003,79.067055,6968000
2021-08-20,84.540001,86.430000,84.019997,86.279999,80.684860,7589700
2021-08-23,85.809998,86.080002,84.010002,84.400002,78.926765,8837100
2021-08-24,84.230003,84.480003,83.410004,84.139999,78.683617,5786100
2021-08-25,84.139999,84.860001,83.580002,84.529999,79.048347,5930000
2021-08-26,84.110001,84.190002,83.669998,83.809998,78.733627,5294000
2021-08-27,83.940002,84.190002,83.339996,83.410004,78.357864,5974200
2021-08-30,83.260002,84.250000,83.010002,83.949997,78.865143,6001700
2021-08-31,83.820000,84.440002,83.510002,83.989998,78.902725,6844000
2021-09-01,84.150002,85.760002,84.059998,85.339996,80.170959,5862300
2021-09-02,85.419998,86.510002,85.419998,86.480003,81.241913,5214000
2021-09-03,85.760002,86.309998,85.379997,85.690002,80.499756,4621100
2021-09-07,85.440002,85.489998,84.470001,85.029999,79.879730,6791300
2021-09-08,85.120003,86.970001,84.790001,86.440002,81.204323,6230100
2021-09-09,86.290001,86.669998,85.750000,85.839996,80.640671,4108300
2021-09-10,85.970001,85.970001,84.599998,84.930000,79.785774,5508000
2021-09-13,85.889999,85.940002,84.389999,84.580002,79.456993,6498800
2021-09-14,84.790001,85.190002,84.449997,84.639999,79.513351,4658200
2021-09-15,84.330002,85.139999,84.059998,84.610001,79.485176,5707000
2021-09-16,84.480003,84.970001,83.660004,84.000000,78.912117,5380600
2021-09-17,83.400002,83.930000,81.550003,81.639999,76.695061,15390400
2021-09-20,81.540001,82.540001,80.660004,81.690002,76.742050,8994100
2021-09-21,81.930000,82.860001,81.730003,81.919998,76.958092,6450700
2021-09-22,82.089996,82.910004,81.570000,81.900002,76.939316,5662200
2021-09-23,82.180000,82.379997,81.139999,81.269997,76.347473,6414300
2021-09-24,81.239998,81.730003,80.489998,80.699997,75.812004,6113800
2021-09-27,80.010002,80.790001,78.550003,78.760002,73.989517,8600900
2021-09-28,78.480003,78.589996,77.010002,77.269997,72.589760,9257400
2021-09-29,77.620003,79.029999,77.449997,78.349998,73.604340,7496100
2021-09-30,78.839996,79.410004,77.900002,78.519997,73.764046,10186800
